"","playerID","Full_name","position","Bats","Throws"
"7691","helliri01","Ricky Allen Helling","Pitcher","Right","Right"
"7692","hellwjo01","Johnny David Hellweg","Pitcher","Right","Right"
"7693","helmsto01","Tommy Vann Helms","Second Baseman, Third Baseman and Shortstop","Right","Right"
"7694","helmswe01","Wesley Ray Helms","Third Baseman, Pinch Hitter and First Baseman","Right","Right"
"7695","helslry01","Ryan Dalton Helsley","Pitcher","Right","Right"
"7696","heltoto01","Todd Lynn Helton","First Baseman","Left","Left"
"7697","heltzhe01","William Wade Heltzel","Third Baseman and Shortstop","Right","Right"
"7698","hemanru01","Russell Frederick Heman","Pitcher","Right","Right"
"7699","hembrhe01","Richard Heath Hembree","Pitcher","Right","Right"
"7700","hemined01","Edson Marshall Hemingway","Second Baseman and Third Baseman","Both","Right"
